path	group	name_en	name_ko	org_id	tbl_id	frequency	obj_levels
industry.farm_population	industry	farm_population	농가인구	101	DT_1EA1011	annual	
industry.service_production_index	industry	service_production_index	서비스업생산지수	101	DT_1KC2020	monthly	
industry.retail_sales	industry	retail_sales	소매판매액	101	DT_1K41002	monthly	
industry.food_crop_production	industry	food_crop_production	식량작물 생산량	101	DT_1ET0021	annual	
industry.online_shopping_transaction_value	industry	online_shopping_transaction_value	온라인쇼핑몰 거래액	101	DT_1KE10041	monthly	
industry.manufacturing_capacity_utilization_index	industry	manufacturing_capacity_utilization_index	제조업 생산능력 및 가동률지수	101	DT_1F32001	monthly	
industry.manufacturing_production_index	industry	manufacturing_production_index	제조업생산지수	101	DT_1F02001	monthly	
environment_energy.electricity_consumption_per_capita	environment_energy	electricity_consumption_per_capita	1인당 전력소비량	388	TX_38803_A026	annual	
environment_energy.pm10_concentration	environment_energy	pm10_concentration	미세먼지 농도(PM 10)	106	DT_106N_03_0200045	annual	
environment_energy.power_generation	environment_energy	power_generation	발전실적	388	TX_38803_A014	annual	
environment_energy.household_waste_generation	environment_energy	household_waste_generation	생활폐기물 발생량	106	DT_106N_29_2020005	annual	
environment_energy.renewable_energy_production	environment_energy	renewable_energy_production	신·재생에너지생산량	337	DT_337N_A001	annual	
environment_energy.greenhouse_gas_emissions	environment_energy	greenhouse_gas_emissions	온실가스배출량	106	DT_106N_99_2800020	annual	
population.households	population	households	가구수	101	DT_1IN1502	annual	00
population.average_household_size	population	average_household_size	평균 가구원수	101	DT_1JC1516	annual	00|00
housing_transport.registered_motorcycles	housing_transport	registered_motorcycles	이륜차 신고대수	116	DT_MLTM_5559	monthly	ALL|13102866057B.0001|13102866057C.0001
housing_transport.registered_vehicles	housing_transport	registered_vehicles	자동차 등록대수	116	DT_MLTM_5498	monthly	ALL|13102873443B.0001|13102873443C.0005
industry.service_establishments	industry	service_establishments	서비스업 사업체수	101	DT_2KB9001	annual	00|0
health_welfare.death_rate	health_welfare	death_rate	사망률	101	DT_1B34E13	annual	0|00|0
economy.business_establishments	economy	business_establishments	사업체수	101	DT_1K52D01	annual	00|ALL|0
industry.fishery_production	industry	fishery_production	어업생산량	101	DT_1EW0004	annual	0|0|00|0
industry.manufacturing_establishments	industry	manufacturing_establishments	제조업 사업체수	101	DT_1FS1001_S	annual	00|ALL
housing_transport.land_area	housing_transport	land_area	국토면적	101	DT_2KAA101	annual	
